state,city,geography,subgeography,subject_race,search_rate,stop_rate,hit_rate,inferred_threshold,stops_per_year,stop_rate_n
AZ,Statewide,AZ,Apache County,white,NA,0.07744364834954448,NA,NA,7064.888888888889,293234.0240963855
AZ,Statewide,AZ,Apache County,black,NA,0.11592767541598172,NA,NA,385.24675324675326,32012.963855421687
AZ,Statewide,AZ,Apache County,hispanic,NA,0.0654971431203518,NA,NA,1280.9620253164558,137774.7469879518
AZ,Statewide,AZ,Cochise County,white,NA,0.07744364834954448,NA,NA,12371.855421686747,293234.0240963855
AZ,Statewide,AZ,Cochise County,black,NA,0.11592767541598172,NA,NA,1568.8101265822784,32012.963855421687
AZ,Statewide,AZ,Cochise County,hispanic,NA,0.0654971431203518,NA,NA,11673.721518987342,137774.7469879518
AZ,Statewide,AZ,Coconino County,white,NA,0.07744364834954448,NA,NA,19571.11111111111,293234.0240963855
AZ,Statewide,AZ,Coconino County,black,NA,0.11592767541598172,NA,NA,1502.7692307692307,32012.963855421687
AZ,Statewide,AZ,Coconino County,hispanic,NA,0.0654971431203518,NA,NA,3939.4500000000003,137774.7469879518
AZ,Statewide,AZ,Gila County,white,NA,0.07744364834954448,NA,NA,10179.365853658535,293234.0240963855
AZ,Statewide,AZ,Gila County,black,NA,0.11592767541598172,NA,NA,259.8987341772152,32012.963855421687
AZ,Statewide,AZ,Gila County,hispanic,NA,0.0654971431203518,NA,NA,1609.1999999999998,137774.7469879518
AZ,Statewide,AZ,Graham County,white,NA,0.07744364834954448,NA,NA,4513.384615384615,293234.0240963855
AZ,Statewide,AZ,Graham County,black,NA,0.11592767541598172,NA,NA,144,32012.963855421687
AZ,Statewide,AZ,Graham County,hispanic,NA,0.0654971431203518,NA,NA,1616.1538461538462,137774.7469879518
AZ,Statewide,AZ,Greenlee County,white,NA,0.07744364834954448,NA,NA,682.632911392405,293234.0240963855
AZ,Statewide,AZ,Greenlee County,black,NA,0.11592767541598172,NA,NA,29.08474576271187,32012.963855421687
AZ,Statewide,AZ,Greenlee County,hispanic,NA,0.0654971431203518,NA,NA,303.84615384615387,137774.7469879518
AZ,Statewide,AZ,La Paz County,white,NA,0.07744364834954448,NA,NA,7082.048780487805,293234.0240963855
AZ,Statewide,AZ,La Paz County,black,NA,0.11592767541598172,NA,NA,1005.1500000000001,32012.963855421687
AZ,Statewide,AZ,La Paz County,hispanic,NA,0.0654971431203518,NA,NA,3644.341463414634,137774.7469879518
AZ,Statewide,AZ,Maricopa County,white,NA,0.07744364834954448,NA,NA,99087.03614457832,293234.0240963855
AZ,Statewide,AZ,Maricopa County,black,NA,0.11592767541598172,NA,NA,14862.21686746988,32012.963855421687
AZ,Statewide,AZ,Maricopa County,hispanic,NA,0.0654971431203518,NA,NA,41055.614457831325,137774.7469879518
AZ,Statewide,AZ,Mohave County,white,NA,0.07744364834954448,NA,NA,16970.37037037037,293234.0240963855
AZ,Statewide,AZ,Mohave County,black,NA,0.11592767541598172,NA,NA,1546.753246753247,32012.963855421687
AZ,Statewide,AZ,Mohave County,hispanic,NA,0.0654971431203518,NA,NA,3720.2999999999997,137774.7469879518
AZ,Statewide,AZ,Navajo County,white,NA,0.07744364834954448,NA,NA,14384.050632911392,293234.0240963855
AZ,Statewide,AZ,Navajo County,black,NA,0.11592767541598172,NA,NA,892.5194805194805,32012.963855421687
AZ,Statewide,AZ,Navajo County,hispanic,NA,0.0654971431203518,NA,NA,2686,137774.7469879518
AZ,Statewide,AZ,Pima County,white,NA,0.07744364834954448,NA,NA,22054.199999999997,293234.0240963855
AZ,Statewide,AZ,Pima County,black,NA,0.11592767541598172,NA,NA,2557.822784810127,32012.963855421687
AZ,Statewide,AZ,Pima County,hispanic,NA,0.0654971431203518,NA,NA,18198.439024390245,137774.7469879518
