city,state,geography,subgeography,subject_race,search_rate,stop_rate,hit_rate,inferred_threshold,stops_per_year,stop_rate_n
Los Angeles,CA,Los Angeles,0145,black,NA,0.32315822633876917,NA,NA,78.35294117647058,109763.6
Los Angeles,CA,Los Angeles,0145,hispanic,NA,0.11080766565828289,NA,NA,127.76470588235293,213069.73333333334
Los Angeles,CA,Los Angeles,0146,white,NA,0.10772053007767274,NA,NA,40.666666666666664,120984.26666666666
Los Angeles,CA,Los Angeles,0146,black,NA,0.32315822633876917,NA,NA,67.5,109763.6
Los Angeles,CA,Los Angeles,0146,hispanic,NA,0.11080766565828289,NA,NA,114.31578947368422,213069.73333333334
Los Angeles,CA,Los Angeles,0147,white,NA,0.10772053007767274,NA,NA,28.5,120984.26666666666
Los Angeles,CA,Los Angeles,0147,black,NA,0.32315822633876917,NA,NA,120,109763.6
Los Angeles,CA,Los Angeles,0147,hispanic,NA,0.11080766565828289,NA,NA,97.89473684210526,213069.73333333334
Los Angeles,CA,Los Angeles,0148,white,NA,0.10772053007767274,NA,NA,60.666666666666664,120984.26666666666
Los Angeles,CA,Los Angeles,0148,black,NA,0.32315822633876917,NA,NA,197.68421052631578,109763.6
Los Angeles,CA,Los Angeles,0148,hispanic,NA,0.11080766565828289,NA,NA,149.68421052631578,213069.73333333334
Los Angeles,CA,Los Angeles,0151,white,NA,0.10772053007767274,NA,NA,97.33333333333333,120984.26666666666
Los Angeles,CA,Los Angeles,0151,black,NA,0.32315822633876917,NA,NA,51.42857142857143,109763.6
Los Angeles,CA,Los Angeles,0151,hispanic,NA,0.11080766565828289,NA,NA,100.80000000000001,213069.73333333334
Los Angeles,CA,Los Angeles,0152,white,NA,0.10772053007767274,NA,NA,363.7894736842105,120984.26666666666
Los Angeles,CA,Los Angeles,0152,black,NA,0.32315822633876917,NA,NA,287.36842105263156,109763.6
Los Angeles,CA,Los Angeles,0152,hispanic,NA,0.11080766565828289,NA,NA,420.63157894736844,213069.73333333334
Los Angeles,CA,Los Angeles,0153,white,NA,0.10772053007767274,NA,NA,199.57894736842104,120984.26666666666
Los Angeles,CA,Los Angeles,0153,black,NA,0.32315822633876917,NA,NA,274.10526315789474,109763.6
Los Angeles,CA,Los Angeles,0153,hispanic,NA,0.11080766565828289,NA,NA,358.7368421052632,213069.73333333334
Los Angeles,CA,Los Angeles,0154,white,NA,0.10772053007767274,NA,NA,85.33333333333333,120984.26666666666
Los Angeles,CA,Los Angeles,0154,black,NA,0.32315822633876917,NA,NA,145.89473684210526,109763.6
Los Angeles,CA,Los Angeles,0154,hispanic,NA,0.11080766565828289,NA,NA,158,213069.73333333334
Los Angeles,CA,Los Angeles,0155,white,NA,0.10772053007767274,NA,NA,89.33333333333334,120984.26666666666
Los Angeles,CA,Los Angeles,0155,black,NA,0.32315822633876917,NA,NA,186.31578947368422,109763.6
Los Angeles,CA,Los Angeles,0155,hispanic,NA,0.11080766565828289,NA,NA,186.94736842105263,213069.73333333334
Los Angeles,CA,Los Angeles,0156,white,NA,0.10772053007767274,NA,NA,55.05882352941176,120984.26666666666
Los Angeles,CA,Los Angeles,0156,black,NA,0.32315822633876917,NA,NA,276,109763.6
Los Angeles,CA,Los Angeles,0156,hispanic,NA,0.11080766565828289,NA,NA,141.1764705882353,213069.73333333334
Los Angeles,CA,Los Angeles,0157,white,NA,0.10772053007767274,NA,NA,154.66666666666669,120984.26666666666
Los Angeles,CA,Los Angeles,0157,black,NA,0.32315822633876917,NA,NA,640.421052631579,109763.6
Los Angeles,CA,Los Angeles,0157,hispanic,NA,0.11080766565828289,NA,NA,377.6842105263158,213069.73333333334
Los Angeles,CA,Los Angeles,0158,white,NA,0.10772053007767274,NA,NA,135.78947368421052,120984.26666666666
Los Angeles,CA,Los Angeles,0158,black,NA,0.32315822633876917,NA,NA,536.2105263157895,109763.6
Los Angeles,CA,Los Angeles,0158,hispanic,NA,0.11080766565828289,NA,NA,459.1578947368421,213069.73333333334
Los Angeles,CA,Los Angeles,0159,white,NA,0.10772053007767274,NA,NA,173.68421052631578,120984.26666666666
Los Angeles,CA,Los Angeles,0159,black,NA,0.32315822633876917,NA,NA,211.33333333333331,109763.6
Los Angeles,CA,Los Angeles,0159,hispanic,NA,0.11080766565828289,NA,NA,414.3157894736842,213069.73333333334
Los Angeles,CA,Los Angeles,0161,white,NA,0.10772053007767274,NA,NA,64.66666666666667,120984.26666666666
Los Angeles,CA,Los Angeles,0161,black,NA,0.32315822633876917,NA,NA,67.57894736842105,109763.6
Los Angeles,CA,Los Angeles,0161,hispanic,NA,0.11080766565828289,NA,NA,112,213069.73333333334
Los Angeles,CA,Los Angeles,0162,white,NA,0.10772053007767274,NA,NA,408,120984.26666666666
Los Angeles,CA,Los Angeles,0162,black,NA,0.32315822633876917,NA,NA,311.36842105263156,109763.6
Los Angeles,CA,Los Angeles,0162,hispanic,NA,0.11080766565828289,NA,NA,546.9473684210527,213069.73333333334
Los Angeles,CA,Los Angeles,0163,white,NA,0.10772053007767274,NA,NA,135.1578947368421,120984.26666666666
Los Angeles,CA,Los Angeles,0163,black,NA,0.32315822633876917,NA,NA,146,109763.6
Los Angeles,CA,Los Angeles,0163,hispanic,NA,0.11080766565828289,NA,NA,229.26315789473682,213069.73333333334
Los Angeles,CA,Los Angeles,0164,white,NA,0.10772053007767274,NA,NA,76,120984.26666666666
Los Angeles,CA,Los Angeles,0164,black,NA,0.32315822633876917,NA,NA,86.52631578947368,109763.6
Los Angeles,CA,Los Angeles,0164,hispanic,NA,0.11080766565828289,NA,NA,127.05882352941177,213069.73333333334
Los Angeles,CA,Los Angeles,0165,white,NA,0.10772053007767274,NA,NA,75.33333333333333,120984.26666666666
Los Angeles,CA,Los Angeles,0165,black,NA,0.32315822633876917,NA,NA,158.5263157894737,109763.6
Los Angeles,CA,Los Angeles,0165,hispanic,NA,0.11080766565828289,NA,NA,190.10526315789474,213069.73333333334
Los Angeles,CA,Los Angeles,0166,white,NA,0.10772053007767274,NA,NA,44.470588235294116,120984.26666666666
Los Angeles,CA,Los Angeles,0166,black,NA,0.32315822633876917,NA,NA,198.9473684210526,109763.6
Los Angeles,CA,Los Angeles,0166,hispanic,NA,0.11080766565828289,NA,NA,121.33333333333333,213069.73333333334
Los Angeles,CA,Los Angeles,0171,white,NA,0.10772053007767274,NA,NA,164.21052631578948,120984.26666666666
Los Angeles,CA,Los Angeles,0171,black,NA,0.32315822633876917,NA,NA,162.31578947368422,109763.6
Los Angeles,CA,Los Angeles,0171,hispanic,NA,0.11080766565828289,NA,NA,245.0526315789474,213069.73333333334
Los Angeles,CA,Los Angeles,0174,white,NA,0.10772053007767274,NA,NA,147.78947368421052,120984.26666666666
Los Angeles,CA,Los Angeles,0174,black,NA,0.32315822633876917,NA,NA,180,109763.6
Los Angeles,CA,Los Angeles,0174,hispanic,NA,0.11080766565828289,NA,NA,286.7368421052632,213069.73333333334
Los Angeles,CA,Los Angeles,0176,white,NA,0.10772053007767274,NA,NA,187.33333333333331,120984.26666666666
Los Angeles,CA,Los Angeles,0176,black,NA,0.32315822633876917,NA,NA,440.8421052631579,109763.6
Los Angeles,CA,Los Angeles,0176,hispanic,NA,0.11080766565828289,NA,NA,596.2105263157895,213069.73333333334
Los Angeles,CA,Los Angeles,0181,white,NA,0.10772053007767274,NA,NA,38.66666666666667,120984.26666666666
Los Angeles,CA,Los Angeles,0181,black,NA,0.32315822633876917,NA,NA,52.66666666666667,109763.6
Los Angeles,CA,Los Angeles,0181,hispanic,NA,0.11080766565828289,NA,NA,109.33333333333333,213069.73333333334
